"x","y","layer","id"
12420,8100,4693.82573174591,7973
11100,4860,4425.38133950059,11445
6660,8340,1235.47561691844,7667
8100,8940,1252.83678106927,7034
7860,4620,3122.30683950184,11676
12420,7980,4686.14980554399,8102
7260,5820,1979.09070029648,10381
10860,10500,4165.57318985035,5380
4380,5220,4200,11002
7980,7620,268.328157299975,8452
7860,9900,2163.33076527839,6000
11100,7740,3360,8349
7260,10740,3038.15733628132,5092
5940,9900,2811.6898833264,5984
7500,5940,1815.92951405059,10254
10140,9180,2798.85690952574,6793
6060,12420,4972.40384522416,3276
6420,7260,1404.56398928636,8826
7500,10740,3009.58468895627,5094
5700,8700,2254.59530736671,7272
3180,7860,4561.57867409957,8154
9180,11220,3766.16515835405,4592
5340,7260,2447.52936652454,8817
6900,8940,1464.78667388804,7024
4860,7380,2902.41278938748,8684
